Car_Brand,Car_Model,Year,Car_Condition,Mileage,Price
Toyota,Corolla,2010,Nigerian Used,145695,7650000
Ford,Edge,2011,Foreign Used,122250,10125000
Honda,Accord,2010,Nigerian Used,126040,4500000
Mercedes-Benz,C 280,2008,Nigerian Used,380085,6750000
Toyota,Corolla,2007,Nigerian Used,299999,3600000
Mazda,CX-9,2007,Nigerian Used,163995,6525000
Toyota,Camry,2015,Nigerian Used,131830,12375000
Toyota,Highlander,2004,Nigerian Used,352150,3375000
Toyota,RAV4,2008,Nigerian Used,182463,4500000
Toyota,Camry,2007,Nigerian Used,150051,5512500
Infiniti,FX35,2004,Nigerian Used,209324,2250000
Toyota,Hiace,2012,Foreign Used,90411,20677500
Nissan,Altima,2008,Nigerian Used,123008,2812500
Honda,Accord,2005,Nigerian Used,293316,1417500
Toyota,Corolla,2008,Nigerian Used,267639,4162500
Toyota,Hiace,2012,Foreign Used,70484,20677500
Acura,MDX,2016,Nigerian Used,101562,17437500
Land Rover,LR2,2006,Foreign Used,195655,11812500
Honda,Pilot,2010,Foreign Used,161775,8831250
Hyundai,Sonata,2015,Nigerian Used,251057,10125000
Toyota,RAV4,2001,Nigerian Used,90782,3037500
Toyota,Sienna,2007,Foreign Used,77000,8437500
Toyota,RAV4,2006,Nigerian Used,104254,5850000
Toyota,Camry,2006,Nigerian Used,236867,3712500
Mercedes-Benz,R-Class,2006,Nigerian Used,336955,4500000
Toyota,Camry,2009,Nigerian Used,219827,3937500
Toyota,Corolla,2017,Foreign Used,132036,17437500
Lexus,ES 350,2009,Nigerian Used,268938,7875000
Peugeot,207 Sport,2008,Nigerian Used,78356,7312500
Toyota,Avensis,2012,Nigerian Used,153025,3375000
Mercedes-Benz,GLE 350,2016,Nigerian Used,185424,24300000
Toyota,Camry,2007,Nigerian Used,238169,4950000
Toyota,Venza,2010,Nigerian Used,86367,9225000
Toyota,Corolla,2010,Nigerian Used,240829,6750000
Honda,Accord,2008,Nigerian Used,201896,4500000
Mercedes-Benz,Sprinter,2019,Foreign Used,184107,97875000
Toyota,Matrix,2005,Nigerian Used,144750,4500000
Pontiac,Vibe,2008,Nigerian Used,321087,5625000
Honda,Accord,2004,Nigerian Used,131473,1743750
Mercedes-Benz,E 350,2011,Nigerian Used,209804,7650000
Toyota,Venza,2012,Nigerian Used,85282,9225000
Toyota,Corolla,2005,Nigerian Used,204997,2835000
Toyota,Land Cruiser Prado,2013,Nigerian Used,100221,24750000
Chevrolet,Impala,2007,Nigerian Used,278950,3375000
Ford,Edge SE,2007,Nigerian Used,326575,6750000
Honda,Accord,2008,Nigerian Used,205684,2925000
Mercedes-Benz,C 300,2009,Nigerian Used,232010,7312500
Nissan,Murano,2003,Nigerian Used,106934,2081250
Toyota,RAV4,2008,Foreign Used,123948,8100000
Toyota,Tacoma,2017,Foreign Used,128386,29250000
Toyota,Camry,2002,Nigerian Used,159437,2025000
Nissan,Xterra,2001,Nigerian Used,203654,3937500
Kia,Soul,2015,Nigerian Used,61310,5625000
Mercedes-Benz,GLK 350,2013,Nigerian Used,153604,15750000
Toyota,Corolla,2009,Nigerian Used,236762,5118750
Lexus,GS 300,2006,Nigerian Used,148105,4590000
Lexus,ES 330,2005,Nigerian Used,191973,3090937
Ford,Edge,2008,Nigerian Used,196044,5062500
Acura,ZDX,2010,Nigerian Used,9999,10125000
Toyota,RAV4,2006,Nigerian Used,269410,5625000
Nissan,Almera,2014,Nigerian Used,106743,4500000
Kia,Cerato,2013,Nigerian Used,131807,3262500
Lexus,GX 470,2004,Nigerian Used,138454,4837500
Lexus,RX 350,2017,Foreign Used,84064,50625000
Toyota,RAV4,2010,Nigerian Used,403719,6240000
Honda,Accord,2006,Nigerian Used,365928,2250000
Toyota,Sienna,2006,Nigerian Used,442496,3150000
Hyundai,Ix35,2012,Nigerian Used,121223,5460000
Ford,Escape,2014,Nigerian Used,56061,5208000
Mazda,CX-7,2009,Nigerian Used,192501,3990000
Lincoln,MKX,2008,Nigerian Used,283622,5062500
Ford,Edge,2008,Nigerian Used,194229,2898000
Honda,Civic,2008,Nigerian Used,237971,2226000
Toyota,Highlander,2005,Nigerian Used,207540,4410000
Ford,Focus,2003,Nigerian Used,209567,1687500
Honda,Accord,2008,Nigerian Used,211893,3536000
Lexus,RX 350,2007,Nigerian Used,178385,9360000
Toyota,Avensis,2011,Nigerian Used,101571,5062500
Honda,Pilot,2006,Nigerian Used,257407,2205000
Toyota,Camry,2015,Nigerian Used,222151,10920000
Toyota,Camry,2014,Nigerian Used,141036,8325000
Toyota,Camry,2007,Nigerian Used,364148,4680000
Honda,Element,2007,Nigerian Used,359997,2205000
Lexus,ES 330,2009,Nigerian Used,141054,5850000
Honda,Accord,2008,Nigerian Used,30416,3375000
Honda,Odyssey,2006,Nigerian Used,352870,3150000
Honda,Accord,2008,Nigerian Used,151841,4275000
Toyota,Camry,2003,Nigerian Used,261902,2016000
Honda,Insight EX,2010,Foreign Used,60529,9562500
Toyota,Highlander,2003,Nigerian Used,230301,2756250
